name,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status,Software,Mobile,Curated Web,Biotechnology,Advertising,E-Commerce,Enterprise Software,Social Media,Games,Health Care,Analytics,Finance,Internet,Security,Hardware + Software,SaaS,Technology,Web Hosting,Semiconductors,Video,Clean Technology,Networking,Health and Wellness,Social Network Media,Search,Apps,Cloud Computing,Services,Web,Messaging,Education,Sales and Marketing,Music,News,Travel,Web Development,iPhone,Fashion,Entertainment,Media,Manufacturing,Android,age_at_first_funding,age_at_last_funding
Yobongo,1350000,USA,CA,2010-01-01,1,2011-03-23,2011-03-23,acquired,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yodlee,124309780,USA,CA,1999-01-01,4,2006-06-29,2012-05-09,acquired,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
Yoga Works,13000000,USA,CA,1987-01-01,1,2007-08-31,2007-08-31,acquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
Yoggie Security Systems,2800000,ISR,2,2005-01-01,2,2006-05-11,2007-01-22,acquired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Yomoni,3918297,FRA,A8,2014-11-01,1,2015-06-09,2015-06-09,closed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wander (f. YongoPal),185000,USA,CA,2010-01-01,5,2010-04-01,2011-01-01,closed,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yoomly,-,USA,CA,2010-01-01,1,2010-01-30,2010-01-30,closed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoone,197597,DEU,7,2010-11-03,1,2010-11-03,2010-11-03,closed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoonew,4000000,USA,NY,2004-01-01,2,2005-08-01,2007-01-01,closed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
YOOWALK,-,FRA,A8,2006-10-25,1,2008-02-01,2008-02-01,closed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
